state,year,poorhealth,neversmoke,pastsmoke,somesmoke,dailysmoke,bingedrinker,genhealth0,genhealth1_13,genhealth14_30
Alabama,2013,.22858106,.55124629,.23362836,.057072554,.15805277,.11133935,.54401428,.24984349,.2061422
Alabama,2014,.22897927,.54293036,.24568056,.063317612,.14807145,.12069404,.54505903,.23997249,.21496849
Alabama,2015,.22235921,.55727845,.22917359,.061011512,.15253645,.11633867,.54227054,.25329846,.204431
Alabama,2016,.22634028,.54557186,.23874711,.068382576,.14729844,.1296664,.54089612,.25727889,.20182501
Alabama,2017,.23373832,.55764884,.23474018,.070771374,.13683963,.12417703,.53364629,.24915813,.21719559
Alabama,2018,.16570094,.57688779,.14191964,.18360433,.097588256,.12262038,.7220304,.098654285,.17931533
Alaska,2013,.14976513,.5074231,.26750845,.06952484,.1555436,.19559507,.55122638,.30830142,.1404722
Alaska,2014,.13406312,.54491174,.25658444,.063765675,.13473815,.20201124,.5989368,.28423166,.11683156
Alaska,2015,.13631003,.540142,.26848564,.051884338,.13948798,.2036439,.58100212,.30502355,.11397432
Alaska,2016,.13936691,.53924423,.27014238,.067911632,.12270178,.18315324,.5670197,.32674932,.106231
Alaska,2017,.17442997,.53910601,.25367346,.064108782,.14311174,.19599411,.54931873,.31150228,.13917898
Alaska,2018,.31349966,0,1,0,0,0,1,0,0
Arizona,2013,.1675085,.57709014,.26015368,.052069645,.11068651,.13457783,.57335728,.25400579,.17263694
Arizona,2014,.18991992,.5698719,.26578334,.054112654,.11023213,.14912672,.54664654,.2814936,.17185985
Arizona,2015,.18867718,.60930204,.25152209,.046910997,.092264839,.14257969,.56731355,.28008312,.15260333
Arizona,2016,.18525366,.59563136,.25528359,.054339752,.094745271,.15599599,.54816091,.28034008,.171499
Arizona,2017,.19233955,.59876215,.24643353,.053719223,.10108509,.15175048,.54597515,.27767465,.17635022
Arizona,2018,.15691541,.64123321,.18559006,.05416115,.11901561,.16842604,.67717206,.16160253,.16122541
Arkansas,2013,.24143717,.49116129,.25032526,.063956976,.19455646,.12542802,.55083799,.24363331,.20552871
Arkansas,2014,.23500577,.50007105,.25227123,.070438571,.17721918,.13215284,.54043776,.2431688,.21639341
Arkansas,2015,.23753728,.51248795,.24114299,.073282577,.17308649,.13962445,.52863461,.25262126,.21874413
Arkansas,2016,.25718722,.51665014,.24460536,.069467187,.16927731,.14855498,.52914959,.25579116,.21505927
Arkansas,2017,.24253869,.52187926,.25487173,.055101406,.16814762,.15389505,.53776121,.25308535,.20915344
Arkansas,2018,.052724779,.70050234,.16797166,.077217057,.054308932,.17250629,.49125203,.41265127,.096096694
California,2013,.18929771,.64659685,.22798924,.045839541,.079574369,.17436853,.55467933,.29603326,.14928742
California,2014,.18081342,.6472044,.22831994,.050594646,.073881,.15291435,.5591647,.28506824,.15576705
California,2015,.18301675,.64650184,.23579855,.044134155,.073565461,.16061576,.54848516,.30469334,.14682153
California,2016,.17567784,.66024613,.22591951,.045843259,.067991063,.1677421,.5579347,.29308125,.14898406
California,2017,.17747916,.66450018,.22254702,.04986218,.063090645,.17606477,.54353505,.3080937,.14837126
California,2018,.019829778,.60207999,.32158896,.014801873,.061529163,.20496947,.39296192,.55717474,.049863312
Colorado,2013,.1321235,.56128836,.2621972,.057031102,.11948334,.18409739,.60599005,.280202,.11380795
Colorado,2014,.13195784,.57444692,.26577073,.051169585,.10861277,.17404136,.59308428,.28983212,.11708361
Colorado,2015,.13675323,.58029127,.26486158,.051845711,.10300141,.17971165,.58969629,.27706051,.13324317
Colorado,2016,.14748041,.5959807,.24757984,.054478258,.10196118,.18771426,.58853185,.2890569,.12241125
Colorado,2017,.14499891,.59906608,.25540021,.050275952,.095257759,.18978359,.57706898,.29915607,.12377498
Colorado,2018,.12643962,.57475698,.27095267,.035537675,.11875268,.18369274,.57136017,.3276189,.10102095
Connecticut,2013,.13242988,.56303936,.28176764,.05420519,.10098781,.18196107,.61032271,.25631166,.13336565
Connecticut,2014,.14339758,.56939906,.2763015,.052236956,.10206248,.15950076,.60110235,.27866909,.12022858
Connecticut,2015,.14920019,.59024531,.27452964,.045210551,.090014532,.16864419,.58772767,.27978238,.13248996
Connecticut,2016,.14390104,.59470844,.27217194,.040503077,.092616521,.16759348,.58832687,.27422297,.13745014
Connecticut,2017,.14527744,.61362028,.2592735,.043857992,.083248235,.15412545,.58856225,.27999389,.13144386
Connecticut,2018,.15269357,.54310954,.26849464,.0071175699,.18127829,.21893081,.72034198,.24229319,.037364807
Delaware,2013,.17321339,.55004287,.25437608,.061121482,.13445956,.1698826,.60888875,.25506148,.13604981
Delaware,2014,.15587732,.55472934,.24660741,.05146626,.14719701,.15692344,.61992103,.22367421,.15640475
Delaware,2015,.17622489,.5572539,.26955143,.054768052,.11842663,.14972146,.58647543,.2546995,.15882507
Delaware,2016,.16380028,.55489075,.26901257,.05209966,.12399699,.16904213,.57309496,.27091932,.15598573
Delaware,2017,.18826807,.57909042,.25001985,.058281321,.11260842,.14890744,.58465809,.24589574,.16944619
District of Columbia,2013,.1271987,.5977999,.21394078,.080590174,.10766914,.22380173,.52906674,.35172758,.11920565
District of Columbia,2014,.12891787,.64521074,.19083972,.063418932,.10053058,.24965015,.55914074,.31500819,.12585105
District of Columbia,2015,.12195678,.62563276,.2146195,.072390512,.087357208,.27125725,.55945343,.31142208,.12912451
District of Columbia,2016,.11720679,.65865737,.19345795,.065763548,.082121126,.25642383,.59995812,.31216866,.087873198
District of Columbia,2017,.10743709,.66564727,.18652877,.06432692,.083497055,.26019359,.52606738,.38578844,.088144161
District of Columbia,2018,.10032681,.74542481,.15717725,.036285535,.061112422,.22190453,.53791595,.36857662,.093507424
Florida,2013,.19490932,.54963851,.28130102,.052921411,.11613907,.15621807,.56721205,.26858819,.16419978
Florida,2014,.19319454,.54637796,.27842802,.060256831,.11493719,.14954057,.55178678,.27145669,.17675655
Florida,2015,.18388943,.56173354,.28022081,.051385883,.10665974,.15568618,.55190545,.26699978,.18109477
Florida,2016,.1950116,.58015311,.26431933,.054565337,.10096221,.15579158,.56103319,.25282493,.18614191
Florida,2017,.1935578,.58968741,.24991114,.052164838,.10823663,.1511825,.57675642,.25107366,.17216991
Florida,2018,.17009233,.62977529,.31244195,.022804664,.034978107,.10274107,.84060758,.076861434,.082530975
Georgia,2013,.19055332,.60567552,.2059923,.05216058,.13617164,.13127159,.58949804,.26202929,.14847268
Georgia,2014,.18779658,.60260254,.22378738,.05024511,.12336499,.14223179,.57376873,.25920737,.16702393
Georgia,2015,.1802619,.59927446,.22428147,.054734334,.12170971,.15196112,.57667959,.24392372,.17939667
Georgia,2016,.19139406,.61275214,.20926812,.05718058,.12079915,.13441324,.57883602,.24275608,.17840792
Georgia,2017,.18488528,.62076241,.20427091,.059220497,.11574619,.12829067,.55347419,.27483922,.17168656
Georgia,2018,.19541481,.65734452,.20621437,.1125895,.023851598,.2913247,.66637188,.27054536,.063082792
Hawaii,2013,.13795011,.59164584,.27412146,.043843154,.090389587,.18225268,.58113694,.29112849,.1277346
Hawaii,2014,.14631227,.60187882,.25844562,.045096047,.09457954,.19775696,.55519617,.31180272,.13300109
Hawaii,2015,.1347561,.60506743,.25310463,.040810794,.10101714,.18834591,.57239288,.29999444,.12761265
Hawaii,2016,.14769764,.61615843,.25312981,.041160513,.089551255,.18599553,.54476643,.32152653,.13370706
Hawaii,2017,.14711182,.60621744,.26556996,.047942184,.080270417,.19431725,.55996174,.30578229,.13425599
Hawaii,2018,.16462314,.53465152,.3679477,.045885105,.051515661,.29424772,.41338044,.54626483,.040354732
Idaho,2013,.14201058,.58168739,.2463693,.049458526,.12248477,.14881426,.58770996,.27862135,.13366871
Idaho,2014,.13139383,.60051572,.23972927,.048416849,.11133813,.14607024,.59618789,.26915994,.13465215
