state,year,physhlthx,menthlthx,adultpop
Alabama,2013,4.943920630320748,4.44043087492869,3724398.398757518
Alaska,2013,3.741263202613207,3.070228186764499,553016.9999999997
Arizona,2013,4.357994048410009,3.877719372858988,4985221.521439759
Arkansas,2013,4.854041937522251,4.453148303869352,2253649.13286161
California,2013,3.867329188690268,3.793468525494712,29220651.46813361
Colorado,2013,3.410584739638753,3.245194232291995,3943475.777345574
Connecticut,2013,3.410159263948055,3.478840629916983,2814506.651154136
Delaware,2013,3.877202095400692,3.615089801291529,723031.0000000002
District of Columbia,2013,3.295610438165227,3.551756505101229,536584.9999999994
Florida,2013,4.513809535247582,4.072078816071592,15467555.71244313
Georgia,2013,3.82812369810891,3.444531110170876,7556576.475331489
Hawaii,2013,3.179315140394103,2.716904582470647,1077350.403652697
Idaho,2013,3.662063025296207,3.677166769559729,1184319.000000002
Illinois,2013,3.716784086984723,3.66281560190206,9811423.593600554
Indiana,2013,3.975553978181215,3.989483574334305,4980204.791014614
Iowa,2013,3.248991967453702,2.943957127460059,2333730.513289808
Kansas,2013,3.451687979788047,3.136868169703639,2154073.577105471
Kentucky,2013,4.9318711026575,4.527324317462091,3385305.661698195
Louisiana,2013,4.198269828361772,4.17147715890026,3368038.765027018
Maine,2013,4.040861208158841,3.797243530092846,1067101.000000008
Maryland,2013,3.36702049022659,3.324934913499413,4603992.148235638
Massachusetts,2013,3.639131205844042,3.805472427410228,5311267.846558152
Michigan,2013,4.099045313308875,3.907930452033073,7644208.01973061
Minnesota,2013,2.943116919656356,2.877393533669944,4141069.869260341
Mississippi,2013,4.796303452615586,4.329034538409565,2231439.502924979
Missouri,2013,3.994324151254127,3.794271367588463,4632393.245397689
Montana,2013,4.033441269949251,3.338315421018401,788504.6641988418
Nebraska,2013,3.113865433270303,2.953660316840513,1400309.706064215
Nevada,2013,3.583764877115001,3.713156586673019,2121343.438216338
New Hampshire,2013,3.584966585329431,3.47899799525302,1053531.999999995
New Jersey,2013,3.435599503255635,3.307043221199226,6891272.662446911
New Mexico,2013,4.188256868234767,3.7452030593877,1569736.334062259
New York,2013,3.913834699084362,3.688066338169203,15422348.00000001
North Carolina,2013,4.042267276272368,3.649042724221632,7428581.1060703
North Dakota,2013,3.301682982957863,2.736586922321619,558721.9678510628
Ohio,2013,3.97806328239838,3.795079758696154,8899991.979564074
Oklahoma,2013,4.438798154001786,4.383412169994971,2663917.650042743
Oregon,2013,4.353498490661533,4.29625379163098,3068152.066405681
Pennsylvania,2013,4.095338212967099,3.95709499480676,10071658.15961491
Rhode Island,2013,3.761575125030558,3.772890849924197,834714.0000000045
South Carolina,2013,4.238317709428725,3.777950728970851,3693326.000000008
South Dakota,2013,2.80962434413379,2.487615327292849,638428.9999999986
Tennessee,2013,4.978310711694493,3.720349424440562,5031424.086719924
Texas,2013,3.502808196636574,3.167176043358568,19511938.05640347
Utah,2013,3.255321760244989,3.583806478995687,1713763.596419016
Vermont,2013,3.538470014029959,3.327450729379025,503229.2412358273
Virginia,2013,3.622231764826042,3.324763436110554,6428510.208166598
Washington,2013,3.936329001397827,3.83087131653838,5402471.506791133
West Virginia,2013,5.333600523329891,4.448195591999729,1475190.999999998
Wisconsin,2013,3.943569258983842,3.348889905751213,3864373.374996614
Wyoming,2013,3.689586679156467,3.167134850056878,446791.2035708812
Guam,2013,2.85581294199225,3.394583011051813,107396.2930349184
Puerto Rico,2013,4.520970401301477,4.119716877298108,2819575.000000001
Alabama,2014,4.824192299020739,4.641456758243388,3727852.419639805
